id,name,city,zipcode,membersCount,lat,lng
211,Champ-de-Mars - Suffren,PARIS,75007,52,48.8526,2.29844
212,Saint Philippe du Roule,PARIS,75008,42,48.8732,2.31119
213,En Marche Drouot,Paris,75009,32,48.8735,2.34059
217,Strasbourg Saint Denis,PARIS,75010,36,48.8704,2.35325
218,En-marche Gare de L'Est,PARIS,75010,88,48.8735,2.3587
220,En-marche-PARIS 11-Rue de la Roquette / la folie Regnault,PARIS,75011,30,48.8595,2.38637
221,En marche Paris 11ème Rue Saint-Maur,PARIS,75011,46,48.8613,2.38111
222,En-marche-PARIS-11 St Ambroise oberkampf,PARIS,75011,30,48.858,2.3805
223,En marche Paris Goncourt,PARIS,75011,73,48.8696,2.36998
225,En marche Porte Dorée,PARIS,75012,17,48.8352,2.40591
226,En-marche-PARIS-226,PARIS,75012,0,48.8314,2.398
227,Nationale-Jeanne d'Arc,PARIS,75013,31,48.8293,2.36923
228,En-marche-PARIS 13 -Place d' Italie,PARIS,75013,53,48.8322,2.35619
229,En Marche Montparnasse,PARIS,75014,118,48.8384,2.31959
230,En Marche ! Alésia,PARIS,75014,79,48.8279,2.32681
231,En-marche-Pecquencourt-231,Pecquencourt,59146,4,50.3785,3.2128
232,En-marche-Perigueux-232,Perigueux,24000,15,45.1833,0.7167
233,En-marche-Perigueux-233,Perigueux,24000,2,45.1833,0.7167
234,En-marche-BRAM,Bram,11150,10,43.2441,2.11915
235,En-marche-Pleyben-235,Pleyben,29190,4,48.1833,-4.0167
236,En Marche - Poitiers,Poitiers,86000,26,46.5833,0.3333
238,En Marche Pont L'abbé,Pont L'abbé,29120,26,47.8668,-4.22451
239,En-marche-Pont-l_Eveque-239,Pont-l_Eveque,14130,2,49.295,0.2829
240,En-marche-Prades-240,Prades,66500,6,42.6123,2.4191
241,En-marche-Preaux-241,Preaux,36240,1,47.0211,1.2925
242,En-marche-Quissac-242,Quissac,30260,4,43.8935,3.9968
243,En-marche-Ramonville-Saint-Agne-243,Ramonville-Saint-Agne,31520,58,43.5462,1.4749
244,En-marche-Remiremont-244,Remiremont,88200,5,47.999,6.6405
245,En-marche-Riom,Riom,63200,31,45.9,3.1167
247,En-marche-Rochefort-247,Rochefort,17300,19,45.9419,-0.9669
250,En Marche ! Roubaix,Roubaix,59100,18,50.6942,3.1746
251,En-marche-Roubaix-251,Roubaix,59100,0,50.6942,3.1746
252,En-marche-Roubaix-252,Roubaix,59100,1,50.6942,3.1746
253,En marche Rouen,Rouen,76000,183,49.4431,1.0993
254,En-marche-Rouvres-254,Rouvres,77230,1,49.0624,2.7171
255,En-marche-Saint_Christophe_en_Brionnais-255,Saint_Christophe_en_Brionnais,71800,2,46.3663,4.2312
256,En-marche-Saint_Florentin-256,Saint Florentin,89600,5,47.9946,3.70707
257,En-marche-Saint_Genvieve_des_Bois-257,Saint_Genvieve_des_Bois,91700,5,48.6595,2.3
258,En-marche-Saint_Julien_en_Genevois-258,Saint_Julien_en_Genevois,74160,23,46.1447,6.08223
262,En-marche-SQY 1,Élancourt,78990,23,48.7839,1.9581
263,En-marche-Saint-Andre-lez-Lille-263,Saint-Andre-lez-Lille,59350,13,50.6667,3.05
264,En-marche-Saint-Chamond-264,Saint-Chamond,42400,12,45.4736,4.5254
265,En-marche-Darcy-265,dijon,21000,19,47.3235,5.03411
266,En marche Le grand calaisis,Licques,62850,2,50.7853,1.9367
267,En Marche Saint-Quentin Officiel,Saint-Quentin,02100,24,49.8483,3.28815
268,FREJUS  ESTEREL   -268,Fréjus,83600,23,43.4589,6.72403
269,En-marche-Sainville-269,Sainville,28700,2,48.5172,1.7612
270,En-marche - Vallée de l'Oze,Salmaise,21690,1,47.4561,4.6631
271,En-marche-Salviac-271,Salviac,46340,1,44.6419,1.3107
272,En-marche-Santes-272,Santes,59211,7,50.5932,2.9629
273,En-marche-Sarlat-273,Sarlat,24200,18,44.8833,1.2667
274,En-marche-Sarreguemines-274,Sarreguemines,57200,3,49.0884,7.0885
275,En Marche Sartrouville Comité Local,Sartrouville,78500,16,48.9402,2.15987
276,En-marche-Saumur-276,Saumur,49400,13,47.2661,-0.1792
277,"En Marche, Région de Saverne",Furchhausen,67700,14,48.7668,7.3567
278,En-marche-Sens-278,Sens,89100,18,48.151,3.311
279,En-marche-Serignac-sur-Garonne-279,Serignac-sur-Garonne,47310,2,44.2139,0.484
280,En-marche-Steenvoorde-280,Steenvoorde,59280,1,50.6498,2.8741
281,En Marche - Strasbourg - Esplanade,Strasbourg,67000,61,48.5778,7.76971
282,En-marche-Thann-282,Thann,68800,3,47.7815,7.089
283,En Marche CAPAVENIR Vosges et alentours,Thaon-les-Vosges,88150,3,48.2622,6.40004
284,En-marche-Thoix-284,Thoix,80160,1,49.7037,2.0652
285,En-marche-Thonon_les_Bains-285,Thonon_les_Bains,74200,0,46.3258,6.5585
286,En-marche-Thouars-286,Thouars,79100,4,46.9649,-0.2111
287,En-marche-Toulon,Toulon,83200,73,43.1283,5.92945
288,En Marche Toulouse Centre-Ville,Toulouse,31000,279,43.6043,1.4437
289,En Marche Tourcoing-Lys,Tourcoing,59200,8,50.7239,3.1612
